syl,start,stop,kssid,audio
0,0.0,0.08071,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
그,0.08071,0.15231,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
는,0.15231,0.48924,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
0,0.48924,0.75129,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
아,0.75129,0.88808,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
내,0.88808,1.02123,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
를,1.02123,1.23614,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
많,1.23614,1.4555,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
이,1.4555,1.5327,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
아,1.5327,1.75352,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
낀,1.75352,1.97293,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
다,1.97293,2.1979,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
0,2.1979,2.30753,1_0003,./data/korean-single-speaker/kss/1/1_0003.wav
