char,start,stop,kssid,audio
0,0.0,0.0537,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
ᄎ,0.0537,0.11016,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
ᅡ,0.11016,0.17482,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
에,0.17482,0.37125,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
0,0.37125,0.39335,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
ᄃ,0.39335,0.43673,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
ᅢ,0.43673,0.54314,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
해,0.54314,0.64463,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
0,0.64463,0.67573,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
ᄌ,0.67573,0.75428,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
ᅡ,0.75428,0.89997,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
ᆯ,0.89997,0.91879,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
아,0.91879,1.07637,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
ᄉ,1.07637,1.18436,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
ᅦ,1.18436,1.28889,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
요?,1.28889,1.44689,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
0,1.44689,1.68841,1_0005,./data/korean-single-speaker/kss/1/1_0005.wav
