char,start,stop,audio
0,0.0,0.0927,data/korean-single-speaker/kss/1/1_0001.wav
ᄀ,0.0927,0.12765,data/korean-single-speaker/kss/1/1_0001.wav
ᅳ,0.12765,0.17218,data/korean-single-speaker/kss/1/1_0001.wav
ᄂ,0.17218,0.2192,data/korean-single-speaker/kss/1/1_0001.wav
ᅧ,0.2192,0.2473,data/korean-single-speaker/kss/1/1_0001.wav
의,0.2473,0.41173,data/korean-single-speaker/kss/1/1_0001.wav
ᄉ,0.41173,0.50644,data/korean-single-speaker/kss/1/1_0001.wav
ᅡ,0.50644,0.57461,data/korean-single-speaker/kss/1/1_0001.wav
ᄅ,0.57461,0.59243,data/korean-single-speaker/kss/1/1_0001.wav
ᅡ,0.59243,0.64042,data/korean-single-speaker/kss/1/1_0001.wav
ᆼ,0.64042,0.70654,data/korean-single-speaker/kss/1/1_0001.wav
으,0.70654,0.81835,data/korean-single-speaker/kss/1/1_0001.wav
ᆯ,0.81835,0.83326,data/korean-single-speaker/kss/1/1_0001.wav
어,0.83326,0.95153,data/korean-single-speaker/kss/1/1_0001.wav
ᆮ,0.95153,1.09444,data/korean-single-speaker/kss/1/1_0001.wav
ᄀ,1.09444,1.11834,data/korean-single-speaker/kss/1/1_0001.wav
ᅵ,1.11834,1.20856,data/korean-single-speaker/kss/1/1_0001.wav
위,1.20856,1.37623,data/korean-single-speaker/kss/1/1_0001.wav
해,1.37623,1.59665,data/korean-single-speaker/kss/1/1_0001.wav
0,1.59665,1.64288,data/korean-single-speaker/kss/1/1_0001.wav
애,1.64288,1.76991,data/korean-single-speaker/kss/1/1_0001.wav
ᄊ,1.76991,1.89271,data/korean-single-speaker/kss/1/1_0001.wav
ᅥ,1.89271,1.99178,data/korean-single-speaker/kss/1/1_0001.wav
ᆻ,1.99178,2.06911,data/korean-single-speaker/kss/1/1_0001.wav
ᄌ,2.06911,2.15357,data/korean-single-speaker/kss/1/1_0001.wav
ᅵ,2.15357,2.19706,data/korean-single-speaker/kss/1/1_0001.wav
ᄆ,2.19706,2.26984,data/korean-single-speaker/kss/1/1_0001.wav
ᅡ,2.26984,2.40939,data/korean-single-speaker/kss/1/1_0001.wav
ᆫ,2.40939,2.50919,data/korean-single-speaker/kss/1/1_0001.wav
0,2.50919,2.78858,data/korean-single-speaker/kss/1/1_0001.wav
ᄒ,2.78858,2.85241,data/korean-single-speaker/kss/1/1_0001.wav
ᅥ,2.85241,2.89864,data/korean-single-speaker/kss/1/1_0001.wav
ᆺ,2.89864,2.99798,data/korean-single-speaker/kss/1/1_0001.wav
ᆺ,2.99798,3.0465,data/korean-single-speaker/kss/1/1_0001.wav
ᅮ,3.0465,3.09567,data/korean-single-speaker/kss/1/1_0001.wav
ᄀ,3.09567,3.16021,data/korean-single-speaker/kss/1/1_0001.wav
ᅩ,3.16021,3.20729,data/korean-single-speaker/kss/1/1_0001.wav
여,3.20729,3.33246,data/korean-single-speaker/kss/1/1_0001.wav
ᆻ,3.33246,3.50541,data/korean-single-speaker/kss/1/1_0001.wav
ᄃ,3.50541,3.52027,data/korean-single-speaker/kss/1/1_0001.wav
ᅡ,3.52027,3.71327,data/korean-single-speaker/kss/1/1_0001.wav
0,3.71327,3.97218,data/korean-single-speaker/kss/1/1_0001.wav
