char,start,stop,audio
0,0.0,0.14298,data/korean-single-speaker/kss/1/1_0000.wav
ᄀ,0.14298,0.17326,data/korean-single-speaker/kss/1/1_0000.wav
ᅳ,0.17326,0.25143,data/korean-single-speaker/kss/1/1_0000.wav
ᆫ,0.25143,0.3011,data/korean-single-speaker/kss/1/1_0000.wav
ᅳ,0.3011,0.39456,data/korean-single-speaker/kss/1/1_0000.wav
ᆫ,0.39456,0.49473,data/korean-single-speaker/kss/1/1_0000.wav
0,0.49473,0.52397,data/korean-single-speaker/kss/1/1_0000.wav
ᄀ,0.52397,0.5717,data/korean-single-speaker/kss/1/1_0000.wav
ᅫ,0.5717,0.66385,data/korean-single-speaker/kss/1/1_0000.wav
ᆫ,0.66385,0.71846,data/korean-single-speaker/kss/1/1_0000.wav
0,0.71846,0.73074,data/korean-single-speaker/kss/1/1_0000.wav
ᄎ,0.73074,0.7928,data/korean-single-speaker/kss/1/1_0000.wav
ᅡ,0.7928,0.86105,data/korean-single-speaker/kss/1/1_0000.wav
ᆭ,0.86105,0.8947,data/korean-single-speaker/kss/1/1_0000.wav
으,0.8947,0.94568,data/korean-single-speaker/kss/1/1_0000.wav
ᆫ,0.94568,0.98747,data/korean-single-speaker/kss/1/1_0000.wav
0,0.98747,1.00429,data/korean-single-speaker/kss/1/1_0000.wav
ᄎ,1.00429,1.05658,data/korean-single-speaker/kss/1/1_0000.wav
ᅥ,1.05658,1.12825,data/korean-single-speaker/kss/1/1_0000.wav
ᆨ~,1.12825,1.20548,data/korean-single-speaker/kss/1/1_0000.wav
~ᆨ,1.20548,1.24674,data/korean-single-speaker/kss/1/1_0000.wav
ᄒ,1.24674,1.27921,data/korean-single-speaker/kss/1/1_0000.wav
ᅡ,1.27921,1.33187,data/korean-single-speaker/kss/1/1_0000.wav
ᄅ,1.33187,1.35667,data/korean-single-speaker/kss/1/1_0000.wav
ᅧ,1.35667,1.50828,data/korean-single-speaker/kss/1/1_0000.wav
0,1.50828,1.54819,data/korean-single-speaker/kss/1/1_0000.wav
ᆨ,1.54819,1.5778,data/korean-single-speaker/kss/1/1_0000.wav
ᅩ,1.5778,1.73609,data/korean-single-speaker/kss/1/1_0000.wav
0,1.73609,2.04869,data/korean-single-speaker/kss/1/1_0000.wav
애,2.04869,2.15518,data/korean-single-speaker/kss/1/1_0000.wav
ᆻ,2.15518,2.28461,data/korean-single-speaker/kss/1/1_0000.wav
ᅳ,2.28461,2.3443,data/korean-single-speaker/kss/1/1_0000.wav
ᆫ,2.3443,2.37857,data/korean-single-speaker/kss/1/1_0000.wav
ᅳ,2.37857,2.45163,data/korean-single-speaker/kss/1/1_0000.wav
ᆫ,2.45163,2.53042,data/korean-single-speaker/kss/1/1_0000.wav
ᆨ,2.53042,2.55297,data/korean-single-speaker/kss/1/1_0000.wav
ᅥ,2.55297,2.61609,data/korean-single-speaker/kss/1/1_0000.wav
ᆺ,2.61609,2.63233,data/korean-single-speaker/kss/1/1_0000.wav
0,2.63233,2.68239,data/korean-single-speaker/kss/1/1_0000.wav
ᆨ,2.68239,2.7029,data/korean-single-speaker/kss/1/1_0000.wav
ᅡ,2.7029,2.76329,data/korean-single-speaker/kss/1/1_0000.wav
ᇀ~,2.76329,2.86374,data/korean-single-speaker/kss/1/1_0000.wav
~ᇀ,2.86374,2.8825,data/korean-single-speaker/kss/1/1_0000.wav
아,2.8825,2.95272,data/korean-single-speaker/kss/1/1_0000.wav
ᆻ,2.95272,3.14772,data/korean-single-speaker/kss/1/1_0000.wav
ᄃ,3.14772,3.1583,data/korean-single-speaker/kss/1/1_0000.wav
ᅡ,3.1583,3.4173,data/korean-single-speaker/kss/1/1_0000.wav
0,3.4173,3.52653,data/korean-single-speaker/kss/1/1_0000.wav
0,0.0,0.0927,data/korean-single-speaker/kss/1/1_0001.wav
ᄀ,0.0927,0.12765,data/korean-single-speaker/kss/1/1_0001.wav
ᅳ,0.12765,0.17218,data/korean-single-speaker/kss/1/1_0001.wav
ᄂ,0.17218,0.2192,data/korean-single-speaker/kss/1/1_0001.wav
ᅧ,0.2192,0.2473,data/korean-single-speaker/kss/1/1_0001.wav
의,0.2473,0.41173,data/korean-single-speaker/kss/1/1_0001.wav
ᄉ,0.41173,0.50644,data/korean-single-speaker/kss/1/1_0001.wav
ᅡ,0.50644,0.57461,data/korean-single-speaker/kss/1/1_0001.wav
ᄅ,0.57461,0.59243,data/korean-single-speaker/kss/1/1_0001.wav
ᅡ,0.59243,0.64042,data/korean-single-speaker/kss/1/1_0001.wav
ᆼ,0.64042,0.70654,data/korean-single-speaker/kss/1/1_0001.wav
으,0.70654,0.81835,data/korean-single-speaker/kss/1/1_0001.wav
ᆯ,0.81835,0.83326,data/korean-single-speaker/kss/1/1_0001.wav
어,0.83326,0.95153,data/korean-single-speaker/kss/1/1_0001.wav
ᆮ,0.95153,1.09444,data/korean-single-speaker/kss/1/1_0001.wav
ᄀ,1.09444,1.11834,data/korean-single-speaker/kss/1/1_0001.wav
ᅵ,1.11834,1.20856,data/korean-single-speaker/kss/1/1_0001.wav
위,1.20856,1.37623,data/korean-single-speaker/kss/1/1_0001.wav
해,1.37623,1.59665,data/korean-single-speaker/kss/1/1_0001.wav
0,1.59665,1.64288,data/korean-single-speaker/kss/1/1_0001.wav
애,1.64288,1.76991,data/korean-single-speaker/kss/1/1_0001.wav
ᄊ,1.76991,1.89271,data/korean-single-speaker/kss/1/1_0001.wav
ᅥ,1.89271,1.99178,data/korean-single-speaker/kss/1/1_0001.wav
ᆻ,1.99178,2.06911,data/korean-single-speaker/kss/1/1_0001.wav
ᄌ,2.06911,2.15357,data/korean-single-speaker/kss/1/1_0001.wav
ᅵ,2.15357,2.19706,data/korean-single-speaker/kss/1/1_0001.wav
ᄆ,2.19706,2.26984,data/korean-single-speaker/kss/1/1_0001.wav
ᅡ,2.26984,2.40939,data/korean-single-speaker/kss/1/1_0001.wav
ᆫ,2.40939,2.50919,data/korean-single-speaker/kss/1/1_0001.wav
0,2.50919,2.78858,data/korean-single-speaker/kss/1/1_0001.wav
ᄒ,2.78858,2.85241,data/korean-single-speaker/kss/1/1_0001.wav
ᅥ,2.85241,2.89864,data/korean-single-speaker/kss/1/1_0001.wav
ᆺ,2.89864,2.99798,data/korean-single-speaker/kss/1/1_0001.wav
ᆺ,2.99798,3.0465,data/korean-single-speaker/kss/1/1_0001.wav
ᅮ,3.0465,3.09567,data/korean-single-speaker/kss/1/1_0001.wav
ᄀ,3.09567,3.16021,data/korean-single-speaker/kss/1/1_0001.wav
ᅩ,3.16021,3.20729,data/korean-single-speaker/kss/1/1_0001.wav
여,3.20729,3.33246,data/korean-single-speaker/kss/1/1_0001.wav
ᆻ,3.33246,3.50541,data/korean-single-speaker/kss/1/1_0001.wav
ᄃ,3.50541,3.52027,data/korean-single-speaker/kss/1/1_0001.wav
ᅡ,3.52027,3.71327,data/korean-single-speaker/kss/1/1_0001.wav
0,3.71327,3.97218,data/korean-single-speaker/kss/1/1_0001.wav
0,0.0,0.04262,data/korean-single-speaker/kss/1/1_0002.wav
요,0.04262,0.15592,data/korean-single-speaker/kss/1/1_0002.wav
ᆼ,0.15592,0.26336,data/korean-single-speaker/kss/1/1_0002.wav
0,0.26336,0.34202,data/korean-single-speaker/kss/1/1_0002.wav
ᄃ,0.34202,0.35254,data/korean-single-speaker/kss/1/1_0002.wav
ᅩ,0.35254,0.43745,data/korean-single-speaker/kss/1/1_0002.wav
ᆫ,0.43745,0.49675,data/korean-single-speaker/kss/1/1_0002.wav
으,0.49675,0.60145,data/korean-single-speaker/kss/1/1_0002.wav
ᆯ,0.60145,0.71494,data/korean-single-speaker/kss/1/1_0002.wav
0,0.71494,0.87711,data/korean-single-speaker/kss/1/1_0002.wav
아,0.87711,0.99477,data/korean-single-speaker/kss/1/1_0002.wav
0,0.99477,1.07471,data/korean-single-speaker/kss/1/1_0002.wav
ᄁ,1.07471,1.09687,data/korean-single-speaker/kss/1/1_0002.wav
ᅧ,1.09687,1.21377,data/korean-single-speaker/kss/1/1_0002.wav
ᄊ,1.21377,1.34784,data/korean-single-speaker/kss/1/1_0002.wav
ᅥ,1.34784,1.45645,data/korean-single-speaker/kss/1/1_0002.wav
ᄅ,1.45645,1.48269,data/korean-single-speaker/kss/1/1_0002.wav
ᅡ,1.48269,1.66714,data/korean-single-speaker/kss/1/1_0002.wav
0,1.66714,1.75902,data/korean-single-speaker/kss/1/1_0002.wav
0,0.0,0.08071,data/korean-single-speaker/kss/1/1_0003.wav
ᄀ,0.08071,0.12089,data/korean-single-speaker/kss/1/1_0003.wav
ᅳ,0.12089,0.15231,data/korean-single-speaker/kss/1/1_0003.wav
ᄂ,0.15231,0.20956,data/korean-single-speaker/kss/1/1_0003.wav
ᅳ,0.20956,0.30481,data/korean-single-speaker/kss/1/1_0003.wav
ᆫ,0.30481,0.48924,data/korean-single-speaker/kss/1/1_0003.wav
0,0.48924,0.75129,data/korean-single-speaker/kss/1/1_0003.wav
아,0.75129,0.88808,data/korean-single-speaker/kss/1/1_0003.wav
ᄂ,0.88808,0.94573,data/korean-single-speaker/kss/1/1_0003.wav
ᅢ,0.94573,1.02123,data/korean-single-speaker/kss/1/1_0003.wav
ᄅ,1.02123,1.06647,data/korean-single-speaker/kss/1/1_0003.wav
ᅳ,1.06647,1.15844,data/korean-single-speaker/kss/1/1_0003.wav
ᆯ,1.15844,1.23614,data/korean-single-speaker/kss/1/1_0003.wav
ᄆ,1.23614,1.24294,data/korean-single-speaker/kss/1/1_0003.wav
ᅡ,1.24294,1.39564,data/korean-single-speaker/kss/1/1_0003.wav
ᆭ,1.39564,1.4555,data/korean-single-speaker/kss/1/1_0003.wav
이,1.4555,1.5327,data/korean-single-speaker/kss/1/1_0003.wav
아,1.5327,1.75352,data/korean-single-speaker/kss/1/1_0003.wav
ᄁ,1.75352,1.78153,data/korean-single-speaker/kss/1/1_0003.wav
ᅵ,1.78153,1.83571,data/korean-single-speaker/kss/1/1_0003.wav
ᆫ,1.83571,1.97293,data/korean-single-speaker/kss/1/1_0003.wav
ᄃ,1.97293,1.98396,data/korean-single-speaker/kss/1/1_0003.wav
ᅡ,1.98396,2.1979,data/korean-single-speaker/kss/1/1_0003.wav
0,2.1979,2.30753,data/korean-single-speaker/kss/1/1_0003.wav
0,0.0,0.09288,data/korean-single-speaker/kss/1/1_0004.wav
ᄀ,0.09288,0.14314,data/korean-single-speaker/kss/1/1_0004.wav
ᅳ,0.14314,0.24152,data/korean-single-speaker/kss/1/1_0004.wav
애,0.24152,0.33572,data/korean-single-speaker/kss/1/1_0004.wav
0,0.33572,0.35846,data/korean-single-speaker/kss/1/1_0004.wav
ᄌ,0.35846,0.41761,data/korean-single-speaker/kss/1/1_0004.wav
ᅥ,0.41761,0.51689,data/korean-single-speaker/kss/1/1_0004.wav
ᆫ,0.51689,0.56929,data/korean-single-speaker/kss/1/1_0004.wav
~ᆫ화,0.56929,0.67854,data/korean-single-speaker/kss/1/1_0004.wav
ᄇ,0.67854,0.71058,data/korean-single-speaker/kss/1/1_0004.wav
ᅥ,0.71058,0.8003,data/korean-single-speaker/kss/1/1_0004.wav
ᆫ,0.8003,0.84911,data/korean-single-speaker/kss/1/1_0004.wav
~ᆫ호,0.84911,0.89335,data/korean-single-speaker/kss/1/1_0004.wav
아,0.89335,1.00634,data/korean-single-speaker/kss/1/1_0004.wav
ᆯ,1.00634,1.04414,data/korean-single-speaker/kss/1/1_0004.wav
0,1.04414,1.06376,data/korean-single-speaker/kss/1/1_0004.wav
0,0.0,0.0537,data/korean-single-speaker/kss/1/1_0005.wav
 ᄎ,0.0537,0.11016,data/korean-single-speaker/kss/1/1_0005.wav
ᅡ,0.11016,0.17482,data/korean-single-speaker/kss/1/1_0005.wav
에,0.17482,0.37125,data/korean-single-speaker/kss/1/1_0005.wav
0,0.37125,0.39335,data/korean-single-speaker/kss/1/1_0005.wav
ᄃ,0.39335,0.43673,data/korean-single-speaker/kss/1/1_0005.wav
ᅢ,0.43673,0.54314,data/korean-single-speaker/kss/1/1_0005.wav
해,0.54314,0.64463,data/korean-single-speaker/kss/1/1_0005.wav
0,0.64463,0.67573,data/korean-single-speaker/kss/1/1_0005.wav
 ᄌ,0.67573,0.75428,data/korean-single-speaker/kss/1/1_0005.wav
ᅡ,0.75428,0.89997,data/korean-single-speaker/kss/1/1_0005.wav
