syl,start,stop,audio
0,0.0,0.14298,data/korean-single-speaker/kss/1/1_0000.wav
그,0.14298,0.25143,data/korean-single-speaker/kss/1/1_0000.wav
는,0.25143,0.49473,data/korean-single-speaker/kss/1/1_0000.wav
0,0.49473,0.52397,data/korean-single-speaker/kss/1/1_0000.wav
괜,0.52397,0.71846,data/korean-single-speaker/kss/1/1_0000.wav
0,0.71846,0.73074,data/korean-single-speaker/kss/1/1_0000.wav
찮,0.73074,0.8947,data/korean-single-speaker/kss/1/1_0000.wav
은,0.8947,0.98747,data/korean-single-speaker/kss/1/1_0000.wav
0,0.98747,1.00429,data/korean-single-speaker/kss/1/1_0000.wav
척~,1.00429,1.20548,data/korean-single-speaker/kss/1/1_0000.wav
~ᆨ하,1.20548,1.33187,data/korean-single-speaker/kss/1/1_0000.wav
려,1.33187,1.50828,data/korean-single-speaker/kss/1/1_0000.wav
0,1.50828,1.54819,data/korean-single-speaker/kss/1/1_0000.wav
고,1.54819,1.73609,data/korean-single-speaker/kss/1/1_0000.wav
0,1.73609,2.04869,data/korean-single-speaker/kss/1/1_0000.wav
애,2.04869,2.15518,data/korean-single-speaker/kss/1/1_0000.wav
쓰,2.15518,2.3443,data/korean-single-speaker/kss/1/1_0000.wav
는,2.3443,2.53042,data/korean-single-speaker/kss/1/1_0000.wav
것,2.53042,2.63233,data/korean-single-speaker/kss/1/1_0000.wav
0,2.63233,2.68239,data/korean-single-speaker/kss/1/1_0000.wav
같~,2.68239,2.86374,data/korean-single-speaker/kss/1/1_0000.wav
~ᇀ았,2.86374,3.14772,data/korean-single-speaker/kss/1/1_0000.wav
다,3.14772,3.4173,data/korean-single-speaker/kss/1/1_0000.wav
0,3.4173,3.52653,data/korean-single-speaker/kss/1/1_0000.wav
0,0.0,0.0927,data/korean-single-speaker/kss/1/1_0001.wav
그,0.0927,0.17218,data/korean-single-speaker/kss/1/1_0001.wav
녀,0.17218,0.2473,data/korean-single-speaker/kss/1/1_0001.wav
의,0.2473,0.41173,data/korean-single-speaker/kss/1/1_0001.wav
사,0.41173,0.57461,data/korean-single-speaker/kss/1/1_0001.wav
랑,0.57461,0.70654,data/korean-single-speaker/kss/1/1_0001.wav
을,0.70654,0.83326,data/korean-single-speaker/kss/1/1_0001.wav
얻,0.83326,1.09444,data/korean-single-speaker/kss/1/1_0001.wav
기,1.09444,1.20856,data/korean-single-speaker/kss/1/1_0001.wav
위,1.20856,1.37623,data/korean-single-speaker/kss/1/1_0001.wav
해,1.37623,1.59665,data/korean-single-speaker/kss/1/1_0001.wav
0,1.59665,1.64288,data/korean-single-speaker/kss/1/1_0001.wav
애,1.64288,1.76991,data/korean-single-speaker/kss/1/1_0001.wav
썼,1.76991,2.06911,data/korean-single-speaker/kss/1/1_0001.wav
지,2.06911,2.19706,data/korean-single-speaker/kss/1/1_0001.wav
만,2.19706,2.50919,data/korean-single-speaker/kss/1/1_0001.wav
0,2.50919,2.78858,data/korean-single-speaker/kss/1/1_0001.wav
헛,2.78858,2.99798,data/korean-single-speaker/kss/1/1_0001.wav
수,2.99798,3.09567,data/korean-single-speaker/kss/1/1_0001.wav
고,3.09567,3.20729,data/korean-single-speaker/kss/1/1_0001.wav
였,3.20729,3.50541,data/korean-single-speaker/kss/1/1_0001.wav
다,3.50541,3.71327,data/korean-single-speaker/kss/1/1_0001.wav
0,3.71327,3.97218,data/korean-single-speaker/kss/1/1_0001.wav
0,0.0,0.04262,data/korean-single-speaker/kss/1/1_0002.wav
용,0.04262,0.26336,data/korean-single-speaker/kss/1/1_0002.wav
0,0.26336,0.34202,data/korean-single-speaker/kss/1/1_0002.wav
돈,0.34202,0.49675,data/korean-single-speaker/kss/1/1_0002.wav
을,0.49675,0.71494,data/korean-single-speaker/kss/1/1_0002.wav
0,0.71494,0.87711,data/korean-single-speaker/kss/1/1_0002.wav
아,0.87711,0.99477,data/korean-single-speaker/kss/1/1_0002.wav
0,0.99477,1.07471,data/korean-single-speaker/kss/1/1_0002.wav
껴,1.07471,1.21377,data/korean-single-speaker/kss/1/1_0002.wav
써,1.21377,1.45645,data/korean-single-speaker/kss/1/1_0002.wav
라,1.45645,1.66714,data/korean-single-speaker/kss/1/1_0002.wav
0,1.66714,1.75902,data/korean-single-speaker/kss/1/1_0002.wav
0,0.0,0.08071,data/korean-single-speaker/kss/1/1_0003.wav
그,0.08071,0.15231,data/korean-single-speaker/kss/1/1_0003.wav
는,0.15231,0.48924,data/korean-single-speaker/kss/1/1_0003.wav
0,0.48924,0.75129,data/korean-single-speaker/kss/1/1_0003.wav
아,0.75129,0.88808,data/korean-single-speaker/kss/1/1_0003.wav
내,0.88808,1.02123,data/korean-single-speaker/kss/1/1_0003.wav
를,1.02123,1.23614,data/korean-single-speaker/kss/1/1_0003.wav
많,1.23614,1.4555,data/korean-single-speaker/kss/1/1_0003.wav
이,1.4555,1.5327,data/korean-single-speaker/kss/1/1_0003.wav
아,1.5327,1.75352,data/korean-single-speaker/kss/1/1_0003.wav
낀,1.75352,1.97293,data/korean-single-speaker/kss/1/1_0003.wav
다,1.97293,2.1979,data/korean-single-speaker/kss/1/1_0003.wav
0,2.1979,2.30753,data/korean-single-speaker/kss/1/1_0003.wav
0,0.0,0.09288,data/korean-single-speaker/kss/1/1_0004.wav
그,0.09288,0.24152,data/korean-single-speaker/kss/1/1_0004.wav
애,0.24152,0.33564,data/korean-single-speaker/kss/1/1_0004.wav
0,0.33564,0.35846,data/korean-single-speaker/kss/1/1_0004.wav
전,0.35846,0.56929,data/korean-single-speaker/kss/1/1_0004.wav
~ᆫ화,0.56929,0.67854,data/korean-single-speaker/kss/1/1_0004.wav
번,0.67854,0.84911,data/korean-single-speaker/kss/1/1_0004.wav
~ᆫ호,0.84911,0.89335,data/korean-single-speaker/kss/1/1_0004.wav
알,0.89335,1.06034,data/korean-single-speaker/kss/1/1_0004.wav
0,1.06034,1.06376,data/korean-single-speaker/kss/1/1_0004.wav
